task_id,run_id,pickup_location,drop_location,priority,creation_time,assignment_time,start_time,completion_time,assigned_robot,travel_distance,travel_time,waiting_time,success,failure_reason
rnd_task_003,run_1789030083,"(-15.67, -23.70)","(-11.35, -13.53)",100,1020.0000000000001,1023.0600000000001,1023.1,1120.04,robot_1,14.92,96.94,6.0,True,None
rnd_task_001,run_1789031643,"(15.67, 25.74)","(15.67, -25.74)",100,1021.0000000000001,1024.54,1024.6000000000001,1221.2,robot_8,69.49,196.6,6.0,True,None
rnd_task_002,run_1789031643,"(19.99, -27.77)","(0.00, 3.05)",100,1024.0,1026.52,1026.6000000000001,1561.2,robot_7,49.6,534.6,6.0,True,None
rnd_task_003,run_1789031643,"(-15.67, -23.70)","(-11.35, -13.53)",100,1028.0,1031.04,1031.1000000000001,1252.5,robot_1,14.92,221.4,6.0,True,None
rnd_task_004,run_1789031643,"(0.00, 26.75)","(15.67, 27.77)",100,1032.0,1035.02,1035.1000000000001,1287.52,robot_3,21.2,252.42,6.0,True,None
rnd_task_005,run_1789031643,"(-15.67, -27.77)","(15.67, -17.60)",100,1036.0,1039.16,1039.2,1283.02,robot_2,44.48,243.82,6.0,True,None
rnd_task_006,run_1789031643,"(11.35, -4.07)","(19.99, -27.77)",100,1221.0,1224.1200000000001,1224.2,1431.6000000000001,robot_8,34.06,207.4,6.0,True,None
rnd_task_007,run_1789031643,"(-11.35, -21.67)","(-15.67, 21.67)",100,1252.0,1255.0400000000002,1255.1000000000001,1441.1000000000001,robot_1,58.79,186.0,6.0,True,None
rnd_task_008,run_1789031643,"(-2.54, 0.00)","(15.67, 23.70)",100,1283.0,1286.16,1286.2,1584.8000000000002,robot_4,40.35,298.6,6.0,True,None
rnd_task_009,run_1789031643,"(-11.35, -17.60)","(-11.35, -21.67)",100,1287.0,1290.0800000000002,1290.1000000000001,1435.0,robot_6,5.49,144.9,6.0,True,None
rnd_task_010,run_1789031643,"(15.67, -27.77)","(19.99, 2.04)",100,1431.0,1434.1000000000001,1434.2,1907.3000000000002,robot_8,40.66,473.1,6.0,True,None
rnd_task_011,run_1789031643,"(15.67, -2.04)","(-11.35, -4.07)",100,1435.0,1438.0,1438.1000000000001,1633.5,robot_2,36.58,195.4,6.0,True,None
rnd_task_012,run_1789031643,"(19.99, 19.63)","(11.35, 25.74)",100,1441.0,1444.02,1444.1000000000001,1748.0600000000002,robot_3,14.28,303.96,6.0,True,None
rnd_task_013,run_1789031643,"(-2.54, -6.11)","(15.67, 25.74)",100,1561.0,1564.0200000000002,1564.1000000000001,1699.6000000000001,robot_7,49.52,135.5,6.0,True,None
rnd_task_014,run_1789031643,"(-11.35, -19.63)","(-15.67, 0.00)",100,1584.0,1587.0800000000002,1587.1000000000001,1767.3000000000002,robot_6,27.14,180.2,6.0,True,None
