run_id,task_id,robot_id,start_zone,goal_zone,static_path_length_m,turn_count,junction_crossings_count,nominal_speed_mps,fleet_size,candidate_corridor_count,mean_nearby_robot_count,avg_nearby_robot_speed_mps,max_corridor_queue_length,reservation_count,corridor_occupancy_ratio,active_blockage_count,waiting_time_s,total_stop_time_s,mean_peer_freshness_ms,task_load_count,actual_travel_time_s
run_1789117385,rnd_task_001,robot_1,South,South,24.94,2,0,0.46,4,1,0.08,0.11,2,11,0.032,311,166.28,162.28,500.0,3,378.96
run_1789117385,rnd_task_002,robot_2,North,North,6.0,0,1,0.46,4,1,0.01,0.17,5,35,0.086,776,280.22,276.22,500.0,5,626.38
run_1789117385,rnd_task_003,robot_3,South,North,85.6,4,2,0.46,4,2,0.03,0.15,8,52,0.067,1807,647.18,643.18,500.0,6,1191.22
run_1789117385,rnd_task_004,robot_4,North,North,0.75,0,1,0.46,4,1,0.0,0.12,4,30,0.098,606,196.02,192.02,500.0,4,468.94
run_1789117385,rnd_task_005,robot_1,North,South,50.67,4,2,0.46,4,2,0.02,0.24,7,36,0.056,1558,415.04,411.04,500.0,6,921.36
run_1789117385,rnd_task_006,robot_4,North,South,65.89,4,2,0.46,4,2,0.1,0.2,6,35,0.049,1995,552.24,548.24,500.0,7,1133.12
run_1789117385,rnd_task_007,robot_2,South,North,0.51,0,2,0.46,4,2,0.02,0.09,5,25,0.038,1735,542.28,538.28,500.0,5,990.6
run_1789117385,rnd_task_008,robot_3,North,South,91.22,4,2,0.46,4,2,0.0,0.18,7,34,0.074,1184,325.98,321.98,500.0,6,652.9
run_1789117385,rnd_task_009,robot_1,North,Central,64.69,4,2,0.46,4,2,0.05,0.16,8,43,0.089,1325,292.86,288.86,500.0,6,717.7
run_1789117385,rnd_task_010,robot_2,Central,North,100.1,4,2,0.46,4,2,0.02,0.23,7,47,0.112,1190,269.38,265.38,500.0,6,606.28
run_1789117385,rnd_task_011,robot_4,South,North,73.22,4,2,0.46,4,2,0.02,0.29,6,42,0.108,1153,291.28,287.28,500.0,6,592.22
run_1789117385,rnd_task_013,robot_3,North,South,6.13,1,2,0.46,4,2,0.0,0.18,8,44,0.065,1694,614.66,610.66,500.0,6,1017.16
run_1789117385,rnd_task_014,robot_1,North,North,53.01,2,1,0.46,4,1,0.05,0.16,10,65,0.069,2472,762.46,758.46,500.0,6,1448.28
run_1789117385,rnd_task_015,robot_2,South,North,6.0,1,2,0.46,4,2,0.0,0.2,11,66,0.07,2516,904.02,900.02,500.0,6,1464.82
run_1789117385,rnd_task_016,robot_4,North,South,6.0,0,2,0.46,4,2,0.05,0.18,13,73,0.063,2948,946.28,942.28,500.0,6,1639.98
run_1789117385,rnd_task_017,robot_3,South,North,97.33,4,2,0.46,4,2,0.06,0.19,14,90,0.103,2750,761.9,757.9,500.0,7,1384.16
run_1789117385,rnd_task_020,robot_1,South,South,22.15,2,0,0.46,4,1,0.0,0.18,8,49,0.105,1438,382.32,378.32,500.0,5,703.36
run_1789117385,rnd_task_022,robot_2,North,South,48.39,4,2,0.46,4,2,0.03,0.15,11,70,0.104,1965,541.42,537.42,500.0,5,996.94
run_1789117385,rnd_task_023,robot_4,South,South,32.98,2,1,0.46,4,1,0.0,0.18,6,30,0.098,759,245.84,241.84,500.0,4,427.16
run_1789117385,rnd_task_025,robot_1,North,Central,34.8,2,1,0.46,4,2,0.0,0.18,4,24,0.072,946,179.44,175.44,500.0,3,472.6
run_1789118979,rnd_task_001,robot_4,North,North,0.49,0,1,0.46,4,1,0.05,0.18,4,23,0.069,366,238.26,234.26,500.0,4,520.58
run_1789118979,rnd_task_002,robot_3,South,North,6.0,0,2,0.46,4,2,0.0,0.0,5,29,0.07,501,283.86,279.86,500.0,5,602.62
run_1789118979,rnd_task_003,robot_1,Central,Central,42.28,2,0,0.46,4,1,0.0,0.18,3,17,0.058,222,191.64,187.64,500.0,3,376.66
run_1789118979,rnd_task_004,robot_2,Central,South,69.97,4,2,0.46,4,2,0.0,0.0,7,40,0.095,624,380.54,376.54,500.0,6,673.76
run_1789118979,rnd_task_005,robot_1,North,Central,81.91,4,2,0.46,4,2,0.02,0.14,8,54,0.079,1915,566.46,562.46,500.0,8,1058.44
run_1789118979,rnd_task_006,robot_4,North,North,0.51,0,1,0.46,4,1,0.02,0.2,3,24,0.073,780,203.4,199.4,500.0,5,468.88
run_1789118979,rnd_task_007,robot_3,North,South,68.9,4,2,0.46,4,2,0.02,0.2,3,24,0.083,856,194.66,190.66,500.0,5,432.8
run_1789118979,rnd_task_008,robot_2,North,North,6.03,1,1,0.46,4,1,0.01,0.17,5,31,0.059,1501,443.14,439.14,500.0,5,748.74
