run_id,task_id,robot_id,start_zone,goal_zone,static_path_length_m,turn_count,junction_crossings_count,nominal_speed_mps,fleet_size,candidate_corridor_count,mean_nearby_robot_count,avg_nearby_robot_speed_mps,max_corridor_queue_length,reservation_count,corridor_occupancy_ratio,active_blockage_count,waiting_time_s,total_stop_time_s,mean_peer_freshness_ms,task_load_count,actual_travel_time_s
run_1789030083,rnd_task_003,robot_1,South,South,14.5,2,0,4.0,8,1,0.19,0.27,20,586,1.0,6547,56.96,52.96,500.0,0,96.94
run_1789031643,rnd_task_001,robot_8,North,South,56.62,4,2,4.0,8,2,0.1,0.51,30,1245,1.0,10941,95.66,91.66,500.0,4,196.6
run_1789031643,rnd_task_002,robot_7,South,Central,84.71,4,2,4.0,8,2,0.09,0.51,42,3365,1.0,25106,302.6,298.6,500.0,11,534.6
run_1789031643,rnd_task_003,robot_1,South,South,14.5,2,0,4.0,8,1,0.03,0.77,31,1461,1.0,12227,143.18,139.18,500.0,5,221.4
run_1789031643,rnd_task_004,robot_3,North,North,30.2,2,1,4.0,8,1,0.05,0.07,31,1662,1.0,13827,135.72,131.72,500.0,7,252.42
run_1789031643,rnd_task_005,robot_2,South,South,41.52,2,1,4.0,8,1,0.02,0.85,31,1624,1.0,13383,141.02,137.02,500.0,6,243.82
run_1789031643,rnd_task_006,robot_8,Central,South,32.34,2,0,4.0,8,2,0.19,0.41,24,1168,1.0,8807,105.02,101.02,500.0,7,207.4
run_1789031643,rnd_task_007,robot_1,South,North,47.9,4,2,4.0,8,2,0.07,0.34,24,994,1.0,7268,99.9,95.9,500.0,8,186.0
run_1789031643,rnd_task_008,robot_4,Central,North,41.91,2,1,4.0,8,2,0.08,0.39,36,1798,1.0,11884,161.16,157.16,500.0,9,298.6
run_1789031643,rnd_task_009,robot_6,South,South,4.48,2,0,4.0,8,1,0.09,0.68,20,732,1.0,5297,91.38,87.38,500.0,5,144.9
run_1789031643,rnd_task_010,robot_8,South,Central,70.06,4,2,4.0,8,2,0.05,0.47,40,3327,1.0,16698,258.96,254.96,500.0,13,473.1
run_1789031643,rnd_task_011,robot_2,Central,Central,60.91,2,1,4.0,8,1,0.05,0.04,30,1553,1.0,7886,109.98,105.98,500.0,7,195.4
run_1789031643,rnd_task_012,robot_3,North,North,14.74,2,0,4.0,8,1,0.07,0.83,32,2386,1.0,11434,174.82,170.82,500.0,8,303.96
run_1789031643,rnd_task_013,robot_7,South,North,77.84,4,2,4.0,8,2,0.0,1.1,21,1194,1.0,4894,69.68,65.68,500.0,6,135.5
run_1789031643,rnd_task_014,robot_6,South,Central,64.69,4,2,4.0,8,2,0.19,0.33,25,1445,1.0,5840,106.46,102.46,500.0,7,180.2
run_1789031643,rnd_task_015,robot_2,Central,North,100.1,4,2,4.0,8,2,0.09,0.37,32,2272,1.0,11017,214.92,210.92,500.0,10,343.7
run_1789031643,rnd_task_016,robot_7,North,North,43.06,2,1,4.0,8,1,0.0,0.0,22,1010,1.0,5412,99.76,95.76,500.0,6,178.6
run_1789031643,rnd_task_017,robot_1,North,North,53.99,2,1,4.0,8,1,0.0,1.6,19,979,1.0,5273,92.68,88.68,500.0,7,167.5
run_1789031643,rnd_task_018,robot_5,South,North,68.63,4,2,4.0,8,2,0.04,0.94,40,3554,1.0,21463,557.74,553.74,500.0,17,726.5
run_1789031643,rnd_task_019,robot_6,South,North,72.98,4,2,4.0,8,2,0.05,0.65,25,1095,1.0,7560,125.96,121.96,500.0,8,225.3
run_1789031643,rnd_task_020,robot_7,North,North,26.6,2,1,4.0,8,1,0.0,1.6,21,771,1.0,4941,76.68,72.68,500.0,6,145.1
run_1789031643,rnd_task_021,robot_8,South,North,80.64,4,2,4.0,8,2,0.08,0.06,30,997,1.0,7298,105.24,101.24,500.0,7,221.5
run_1789031643,rnd_task_022,robot_2,Central,North,35.54,2,1,4.0,8,2,0.0,0.96,36,1539,1.0,11682,226.62,222.62,500.0,10,379.0
run_1789031643,rnd_task_023,robot_7,North,North,33.5,2,1,4.0,8,1,0.01,0.28,18,507,1.0,4013,71.36,67.36,500.0,6,155.0
run_1789031643,rnd_task_024,robot_6,Central,North,38.87,2,1,4.0,8,2,0.06,0.52,24,949,1.0,5827,110.02,106.02,500.0,7,199.7
run_1789031643,rnd_task_025,robot_3,North,North,9.14,2,0,4.0,8,1,0.0,1.6,11,360,1.0,2396,76.92,72.92,500.0,5,103.5
run_1789031643,rnd_task_026,robot_1,Central,Central,46.78,2,0,4.0,8,1,0.01,0.27,31,1128,1.0,5949,130.64,126.64,500.0,7,202.6
run_1789031643,rnd_task_027,robot_8,South,North,60.85,4,2,4.0,8,2,0.07,0.66,41,4054,1.0,16531,319.8,315.8,500.0,16,599.7
run_1789031643,rnd_task_028,robot_7,South,South,36.57,2,1,4.0,8,1,0.03,1.35,25,619,1.0,3067,54.82,50.82,500.0,6,131.3
run_1789031643,rnd_task_029,robot_3,North,North,40.46,2,1,4.0,8,1,0.05,0.47,42,4345,1.0,19875,369.46,365.46,500.0,16,659.42
run_1789031643,rnd_task_030,robot_6,North,Central,23.19,2,0,4.0,8,2,0.04,0.16,28,1618,1.0,6191,185.58,181.58,500.0,9,251.3
run_1789031643,rnd_task_031,robot_1,North,North,11.58,2,0,4.0,8,1,0.16,0.14,19,402,1.0,1965,36.32,32.32,500.0,6,73.2
run_1789031643,rnd_task_032,robot_5,North,Central,43.94,2,1,4.0,8,2,0.17,0.25,25,1278,1.0,4183,87.5,83.5,500.0,8,175.6
run_1789031643,rnd_task_033,robot_7,Central,South,66.72,4,2,4.0,8,2,0.08,1.01,42,3297,1.0,13214,228.46,224.46,500.0,11,437.1
run_1789031643,rnd_task_034,robot_2,Central,Central,37.45,2,0,4.0,8,1,0.03,0.31,21,1039,1.0,3121,75.38,71.38,500.0,5,131.9
run_1789031643,rnd_task_035,robot_2,North,North,19.55,2,0,4.0,8,1,0.0,2.1,24,1388,1.0,5183,93.5,89.5,500.0,8,172.02
run_1789031643,rnd_task_036,robot_6,South,South,32.0,2,1,4.0,8,1,0.05,0.74,41,2326,1.0,11993,243.68,239.68,500.0,9,332.2
run_1789031643,rnd_task_037,robot_5,South,Central,75.02,4,2,4.0,8,2,0.04,0.96,22,1357,1.0,4854,85.02,81.02,500.0,7,160.42
run_1789031643,rnd_task_038,robot_4,Central,South,23.83,2,0,4.0,8,2,0.09,0.68,36,1006,1.0,5221,73.14,69.14,500.0,7,137.2
run_1789031643,rnd_task_039,robot_2,South,Central,40.61,2,1,4.0,8,2,0.0,1.6,36,1100,1.0,7843,98.42,94.42,500.0,8,191.3
run_1789031643,rnd_task_041,robot_5,Central,South,93.74,4,2,4.0,8,2,0.0,1.6,41,3024,1.0,23653,503.14,499.14,500.0,10,621.9
run_1789031643,rnd_task_042,robot_4,South,Central,71.04,4,2,4.0,8,2,0.0,1.6,39,2606,1.0,19698,287.66,283.66,500.0,8,525.7
run_1789031643,rnd_task_043,robot_3,North,North,13.73,2,0,4.0,8,1,0.0,1.6,17,365,1.0,2726,37.68,33.68,500.0,3,66.4
